Site,Extent,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014
Beaches,Australia,87,76,72,73,76,66,53,49,50
Beaches,Queensland,88,82,83,65,81,72,72,68,72
Car parks,Australia,88,88,71,79,73,70,70,67,55
Car parks,Queensland,73,72,63,57,62,79,61,69,63
Highways,Australia,57,62,60,52,51,50,46,46,43
Highways,Queensland,85,77,64,50,68,70,65,64,75
Industrial sites,Australia,131,122,122,109,104,98,91,95,82
Industrial sites,Queensland,133,127,100,86,91,79,79,89,85
Recreational parks,Australia,45,46,35,32,36,30,30,25,24
Recreational parks,Queensland,67,74,65,41,62,61,47,39,38
Residential sites,Australia,41,46,47,38,43,40,37,36,37
Residential sites,Queensland,65,65,88,53,64,55,53,44,41
Retail strips,Australia,121,154,131,134,170,134,147,124,108
Retail strips,Queensland,179,185,120,105,160,150,182,149,145
Shopping centres,Australia,91,101,83,81,88,83,84,88,76
Shopping centres,Queensland,104,112,98,81,136,201,105,123,153
